Codigo_IBGE,UF,Padrao_Acabamento,Mes,Ano,Tipo_Projeto,Descricao,Valor_m2,Regiao
12,Acre,Normal,dezembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1802.4,Norte
12,Acre,Normal,dezembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1862.8,Norte
12,Acre,Baixo,janeiro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1464.1,Norte
12,Acre,Baixo,janeiro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1387.3,Norte
12,Acre,Baixo,janeiro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1371.18,Norte
12,Acre,Baixo,fevereiro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1469.79,Norte
12,Acre,Baixo,fevereiro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1392.91,Norte
12,Acre,Baixo,fevereiro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1383.58,Norte
12,Acre,Baixo,março,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1533.4,Norte
12,Acre,Baixo,março,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1453.78,Norte
12,Acre,Baixo,março,2025,PR4-3QP,Prédio residencial (4 pavimentos),1444.3,Norte
12,Acre,Baixo,abril,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1530.47,Norte
12,Acre,Baixo,abril,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1451.11,Norte
12,Acre,Baixo,abril,2025,PR4-3QP,Prédio residencial (4 pavimentos),1443.43,Norte
12,Acre,Baixo,maio,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1528.22,Norte
12,Acre,Baixo,maio,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1448.37,Norte
12,Acre,Baixo,maio,2025,PR4-3QP,Prédio residencial (4 pavimentos),1436.85,Norte
12,Acre,Baixo,junho,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1532.68,Norte
12,Acre,Baixo,junho,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1452.19,Norte
12,Acre,Baixo,junho,2025,PR4-3QP,Prédio residencial (4 pavimentos),1440.74,Norte
12,Acre,Baixo,julho,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1548.41,Norte
12,Acre,Baixo,julho,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1466.31,Norte
12,Acre,Baixo,julho,2025,PR4-3QP,Prédio residencial (4 pavimentos),1454.47,Norte
